,gene_pair,gene_1,gene_2,study_origin,cell_line_origin,GEMINI_SCORE_SL_score_SensitiveLethality,GEMINI_SCORE_SL_score_SensitiveRecovery,GEMINI_SCORE_SL_score_Strong,HORLBECK_SCORE_SL_score,HORLBECK_SCORE_standard_error,MAGECK_SCORE_SL_score,MAGECK_SCORE_Z_SL_score,MAGECK_SCORE_standard_error,MEDIAN_B_SCORE_SL_score,MEDIAN_B_SCORE_Z_SL_score,MEDIAN_B_SCORE_standard_error,MEDIAN_NB_SCORE_SL_score,MEDIAN_NB_SCORE_Z_SL_score,MEDIAN_NB_SCORE_standard_error,SGRA_DERIVED_B_SCORE_SL_score,SGRA_DERIVED_NB_SCORE_SL_score
25,AKT3|MAPK13,AKT3,MAPK13,36060092,22RV1,-0.083906732383735,,-0.083906732383735,0.2082741688900341,0.16239239609935902,,,,-0.005578581742384792,-0.11154627605373713,0.05001136693884182,0.03434001548013654,0.6866442087481923,0.05001136693884182,-0.8666692333099977,-0.27687191766895836
26,AKT3|MAPK3,AKT3,MAPK3,36060092,22RV1,-0.0519470382770211,,-0.0519470382770211,-0.33263543879007845,0.16226877026830167,,,,-0.002778758953448257,-0.046360426741920875,0.059938165990512694,0.03713983826907308,0.6196358806666148,0.0599381659905127,-0.16482311143316206,0.6369305688179776
27,AKT3|MAPK8,AKT3,MAPK8,36060092,22RV1,-0.0570185256242218,,-0.0570185256242219,-0.7119757369126498,0.13968224071618235,,,,-0.05390300088075417,-1.2899780003847228,0.04178598461731762,-0.013984403658232836,-0.33466732413521244,0.04178598461731762,-1.4885531772836313,-0.8968816817673982
28,AKT3|MTOR,AKT3,MTOR,36060092,22RV1,,0.0215039208096025,-0.0215039208096025,-0.2576044736587418,0.1054674401800511,,,,-0.0031027599667430295,-0.05175087142389595,0.059955704732545446,0.036815837255778305,0.6140506131986763,0.05995570473254544,0.3290259289566032,0.9410635641979909
29,AKT3|MYC,AKT3,MYC,36060092,22RV1,-0.0746659136953611,,-0.074665913695361,-0.023642477851476044,0.18926247780588423,,,,0.004071883376101315,0.08223967678896792,0.04951239517331785,0.04399048059862265,0.8884740971353584,0.04951239517331785,0.010732401754748037,0.6155247601414578
30,AKT3|NRAS,AKT3,NRAS,36060092,22RV1,-0.074683377958389,,-0.074683377958389,-0.1748190105170154,0.197146905750204,,,,-0.009095808421295981,-0.18935984211030518,0.04803451629410171,0.030822788801225354,0.6416800080281057,0.04803451629410171,-0.05307124269813601,0.41078880781433746
31,AKT3|NXF2,AKT3,NXF2,36060092,22RV1,-0.0714447064582345,,-0.0714447064582345,-0.1806514943573004,0.14849076053157384,,,,-0.10385865663012339,-2.1287053118548696,0.04878958870057268,-0.06394005940760206,-1.310526715033602,0.04878958870057268,-1.8646997369025107,-1.4047673031915693
32,AKT3|NXF2B,AKT3,NXF2B,36060092,22RV1,-0.101558557231409,,-0.101558557231409,-0.3560846473942503,0.09936682997590125,,,,-0.05290532328446673,-1.385391926575549,0.03818798295962328,-0.012986726061945397,-0.34007363195056556,0.03818798295962328,-1.0394686254565033,-0.3670749361264921
33,AKT3|PARP1,AKT3,PARP1,36060092,22RV1,-0.0618740294550992,,-0.0618740294550992,0.16767474019313264,0.14381032773155178,,,,-0.008661078388671584,-0.1412630251384253,0.061311715363482344,0.03125751883384975,0.5098131515085114,0.061311715363482344,-0.018376704058761954,0.2663318527406301
34,AKT3|PIK3CA,AKT3,PIK3CA,36060092,22RV1,-0.0407916027292134,,-0.0407916027292134,-0.28891192521927156,0.14335980895468586,,,,-0.010359359650802702,-0.14361738971109902,0.07213165252231367,0.029559237571718633,0.4097956519514729,0.07213165252231367,-0.1768483753179515,0.32430620241585056
35,AKT3|PLD1,AKT3,PLD1,36060092,22RV1,-0.123139370736021,,-0.123139370736021,0.23578810870462402,0.14419931423480134,,,,0.0020187822127413213,0.05299801660628922,0.03809165591494521,0.041937379435262656,1.100959735877709,0.03809165591494521,-0.3833469143392176,0.41133852357476475
36,AKT3|PLK1,AKT3,PLK1,36060092,22RV1,,0.0721723135493539,-0.137784196131823,0.26379315489055877,0.1443460323947073,,,,0.10910214012603348,1.0189500637643498,0.10707309808978555,0.1490207373485548,1.3917663727596103,0.10707309808978556,1.3876793211973162,2.261775854674494
37,AKT3|POLD1,AKT3,POLD1,36060092,22RV1,-0.0900570341887578,,-0.0900570341887578,-0.08110653202930003,0.12877017180806738,,,,-0.028592005951030064,-0.2855941657575565,0.10011411078790063,0.011326591271491271,0.11313681140800938,0.10011411078790063,-0.7648752740294451,-0.26772877305552883
38,AKT3|PSMB2,AKT3,PSMB2,36060092,22RV1,,0.0629367861467705,-0.0629367861467705,-0.13570169766469006,0.14596322753491964,,,,0.020391556829767676,0.2013529608894906,0.10127269417686519,0.06031015405228901,0.595522362098532,0.10127269417686519,0.8651739841374959,1.1729107273376993
39,AKT3|PSMB5,AKT3,PSMB5,36060092,22RV1,,0.0481362983095592,-0.0481362983095592,0.3163367742221078,0.18653486567853564,,,,0.004578873311113618,0.03493408803093692,0.13107178601767594,0.04449747053363495,0.3394893125789418,0.1310717860176759,0.4808673522630359,0.7893493289002462
40,AKT3|RHEB,AKT3,RHEB,36060092,22RV1,-0.078490928246364,,-0.078490928246364,0.2002914585424648,0.2639423383396039,,,,-0.01675248040766375,-0.2937260515241725,0.057034370362225376,0.023166116814857585,0.4061781811165713,0.057034370362225376,0.0946834804116517,0.5442569824713843
41,AKT3|TGFBR2,AKT3,TGFBR2,36060092,22RV1,-0.0768392217200188,,-0.0768392217200188,0.12312091581045553,0.20295328833093823,,,,-0.013126151469735614,-0.25423873384291384,0.05162923552728929,0.02679244575278572,0.5189394241296529,0.05162923552728929,-0.8699412315618822,-0.326460693382552
42,AKT3|TOP2A,AKT3,TOP2A,36060092,22RV1,-0.0544644909481544,,-0.0544644909481544,-0.3819451705099085,0.17590163103598855,,,,-0.03527026520939547,-0.607662696261853,0.058042505202914194,0.0046483320131258665,0.08008496526598034,0.058042505202914194,-1.2407694037792887,-0.7005203695230802
43,AKT3|TRIB2,AKT3,TRIB2,36060092,22RV1,-0.0285773397912961,,-0.0285773397912961,-0.5784483847093593,0.22846241593344976,,,,-0.03823825856120333,-0.7869617744413626,0.048589727993265455,0.0016803386613180038,0.03458217880023735,0.048589727993265455,-0.5394733579095544,-0.03752895244959181
44,AKT3|TRIM25,AKT3,TRIM25,36060092,22RV1,-0.0647542034539515,,-0.0647542034539515,0.05314086430860279,0.17534800085184962,,,,-0.020587844271183542,-0.3728861249357546,0.05521214894957721,0.019330752951337793,0.35011774254596945,0.05521214894957722,0.15348257371019502,0.9204126094053112
45,AKT3|ULK1,AKT3,ULK1,36060092,22RV1,-0.0739324212818641,,-0.0739324212818641,-0.01709656733937375,0.17039464525616435,,,,0.09606129228884175,1.7546636734814147,0.054746270604809,0.13597988951136308,2.4838201398766766,0.054746270604809,0.20740057738245105,0.500709491469605
46,AKT3|UPF2,AKT3,UPF2,36060092,22RV1,-0.0671597514277905,,-0.0671597514277905,-0.2345422357539327,0.22893103862942513,,,,0.0464637639562655,0.6924091344307627,0.06710449306025387,0.08638236117878684,1.2872813315380112,0.06710449306025387,-0.19491969018380995,0.1707207839102203
