"","Strong","SensitiveLethality","SensitiveRecovery"
"DHFR;HDAC1",-0.0413999491973617,-0.0413999491973617,NA
"DHFR;HPRT1",0.0114300327596771,0.0114300327596771,NA
"DHFR;HSP90AA1",0.0746328471833955,0.0746328471833955,NA
"DHFR;HSP90B1",0.0582614874984046,0.0582614874984046,NA
"DHFR;IGF1R",0.149740447086384,0.149740447086384,NA
"DHFR;IGFBP5",-0.0440399402473881,-0.0440399402473881,NA
"DHFR;INSR",-0.0256851129815737,-0.0256851129815737,NA
"DHFR;IRS1",-0.080779765376442,-0.080779765376442,NA
"DHFR;JUN",-0.0817554319759889,-0.0817554319759889,NA
"DHFR;LIMK1",-0.0120169349434184,-0.0120169349434184,NA
"DHFR;MAP2K1",0.0577452478018098,0.0577452478018098,NA
"DHFR;MAP3K1",0.00362373723643672,0.00362373723643672,NA
"DHFR;MAPK1",-0.0817237630446881,-0.0817237630446881,NA
"DHFR;MAPK13",-0.0721302055369611,-0.0721302055369611,NA
"DHFR;MAPK3",-0.0561845392926178,-0.0561845392926178,NA
"DHFR;MAPK8",-0.117674047269483,-0.117674047269483,NA
"DHFR;MTOR",-0.0313702585647082,NA,-0.168308150125103
"DHFR;MYC",0.0316418361779105,0.0854832162487901,NA
"DHFR;NRAS",0.0132559579925186,0.0132559579925186,NA
"DHFR;NXF2",-0.107230207280242,-0.107230207280242,NA
"DHFR;NXF2B",-0.0731389597603629,-0.0731389597603629,NA
"DHFR;PARP1",0.118237650655397,0.118237650655397,NA
"DHFR;PIK3CA",0.104246424614768,0.104246424614768,NA
"DHFR;PLD1",-0.0416607786788322,-0.0416607786788323,NA
"DHFR;PLK1",-0.130498375824227,NA,-0.143294484298391
"DHFR;POLD1",-0.0442555485232701,-0.0442555485232701,NA
"DHFR;PSMB2",-0.0449487649458025,NA,-0.16269877685402
"DHFR;PSMB5",0.013093017355522,NA,-0.147311063428403
"DHFR;RHEB",-0.079179433292841,-0.079179433292841,NA
"DHFR;TGFBR2",-0.0712369896886076,-0.0712369896886076,NA
"DHFR;TOP2A",0.107480781007653,0.107480781007653,NA
"DHFR;TRIB2",-0.0925648702280194,-0.0925648702280194,NA
"DHFR;TRIM25",-0.0607154011819918,-0.0607154011819918,NA
"DHFR;ULK1",0.0405661081120016,0.0405661081120016,NA
"DHFR;UPF2",0.0305559215621858,0.0305559215621858,NA
"DHFR;UPF3A",0.0206455218332349,0.0206455218332349,NA
"DHFR;WNT5A",-0.0530380685741836,-0.0530380685741836,NA
"ETF1;EZH2",-0.0862115589820538,NA,-0.00167301489363048
"ETF1;GART",-0.143376435033842,NA,-0.0236758268942625
"ETF1;GRB2",-0.0520368472076078,NA,-0.0976887119664313
"ETF1;HDAC1",0.0222724520992009,NA,-0.048903240830692
"ETF1;HPRT1",-0.0633523906637974,NA,-0.0761580201361384
"ETF1;HSP90AA1",-0.130441782007543,NA,-0.0521373976118593
"ETF1;HSP90B1",-0.161263044855792,NA,-0.100639700304774
"ETF1;IGF1R",-0.125164829760362,NA,-0.208113232614849
"ETF1;IGFBP5",-0.0446781821951593,NA,-0.0194191191657697
"ETF1;INSR",0.00558132953715379,NA,-0.0929896405185279
"ETF1;IRS1",0.0198559444558779,NA,-0.0504246936280741
"ETF1;JUN",-0.0223715615567961,NA,-0.0123095756343789
"ETF1;LIMK1",0.155929012043245,NA,-0.213941378522154
"ETF1;MAP2K1",-0.0497549253802265,NA,-0.110787765135727
"ETF1;MAP3K1",-0.108136169366079,NA,-0.0604854394558596
"ETF1;MAPK1",-0.0591902064491598,NA,-0.0369797903181926
"ETF1;MAPK13",0.0120381839214094,NA,-0.0913919489881156
"ETF1;MAPK3",-0.060392073642669,NA,-0.0999233501537595
"ETF1;MAPK8",-0.0440928781679877,NA,-0.00274080420800982
"ETF1;MTOR",-0.158118589778605,NA,-0.384402037732304
"ETF1;MYC",-0.189330024893162,NA,-0.207353573998816
"ETF1;NRAS",-0.0791715476911404,NA,-0.0881000085321451
"ETF1;NXF2",-0.131788331241253,NA,0.0513581401543874
"ETF1;NXF2B",-0.0246990689605829,NA,-0.0029694024908587
"ETF1;PARP1",-0.0831198362046295,NA,-0.143716415199588
"ETF1;PIK3CA",-0.0722609667664218,NA,-0.134504478063767
"ETF1;PLD1",-0.039798226944964,NA,-0.00883510315989511
"ETF1;PLK1",-0.178170091621624,NA,-0.438464987322092
"ETF1;POLD1",-0.0336109678645464,NA,-0.0958240054559039
"ETF1;PSMB2",-0.259599231180108,NA,-0.290890529440812
"ETF1;PSMB5",-0.164645505785153,NA,-0.312414759108826
"ETF1;RHEB",-0.233778814668605,NA,0.0923583260991654
"ETF1;TGFBR2",-0.0605383901597892,NA,-0.0361997614383852
"ETF1;TOP2A",-0.212893947378755,NA,-0.129222953725321
"ETF1;TRIB2",-0.0676262478988531,NA,0.021230402849778
"ETF1;TRIM25",-0.123525308122821,NA,0.0240612247545247
"ETF1;ULK1",-0.144227742217674,NA,-0.0664257425370719
"ETF1;UPF2",-0.190377660119527,NA,0.00192802400231007
"ETF1;UPF3A",-0.0843533238779759,NA,-0.0944142619050694
"ETF1;WNT5A",0.0552026192239096,NA,-0.140894855875913
"EZH2;GART",-0.0447020156722346,-0.0447020156722346,NA
"EZH2;GRB2",-0.0760702216921015,-0.0760702216921016,NA
"EZH2;HDAC1",-0.0310668492778047,-0.0310668492778048,NA
"EZH2;HPRT1",-0.0581809332121997,-0.0581809332121997,NA
"EZH2;HSP90AA1",-0.0389279164386387,-0.0389279164386387,NA
"EZH2;HSP90B1",-0.0686878913371919,-0.0686878913371919,NA
"EZH2;IGF1R",-0.0117049293754007,-0.0117049293754007,NA
"EZH2;IGFBP5",-0.113080735782441,-0.113080735782441,NA
"EZH2;INSR",-0.0638560665054365,-0.0638560665054365,NA
"EZH2;IRS1",-0.0909525347799473,-0.0909525347799473,NA
"EZH2;JUN",-0.0931104009789091,-0.0931104009789091,NA
"EZH2;LIMK1",-0.0387782313650281,-0.0387782313650281,NA
"EZH2;MAP2K1",-0.0587810417490419,-0.0587810417490418,NA
"EZH2;MAP3K1",-0.0386961848480079,-0.0386961848480079,NA
"EZH2;MAPK1",0.00794688212754335,0.00794688212754333,NA
"EZH2;MAPK13",-0.0312445396117178,-0.0312445396117178,NA
"EZH2;MAPK3",-0.0849397571196163,-0.0849397571196163,NA
"EZH2;MAPK8",-0.051092107801358,-0.0510921078013581,NA
"EZH2;MTOR",-0.0144474449762955,NA,0.0144474449762955
"EZH2;MYC",-0.0545175244017165,-0.0545175244017165,NA
"EZH2;NRAS",-0.0292857322121384,-0.0292857322121384,NA
"EZH2;NXF2",-0.0950380803240953,-0.0950380803240953,NA
